Problem,Encoding,Instance,Pre-processing,Result,Model,Time,Solving,1st Model,Unsat,CPU,Pre-proc Time(Nanos)
../Instances/House_Configuration,active_BK,p15_c15_t30,OK,SATISFIABLE,1+,9.187,5.66,5.66,0.00,9.187,0
../Instances/House_Configuration,active_BK_sat,p15_c15_t30,OK,SATISFIABLE,1+,10.323,6.72,6.72,0.00,10.322,0
../Instances/House_Configuration,BASE,p15_c15_t30,OK,SATISFIABLE,1+,6.851,0.80,0.80,0.00,6.851,0
../Instances/House_Configuration,SBASS,p15_c15_t30,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/House_Configuration,active_BK,p2_c6_t13,OK,UNSATISFIABLE,0,0.723,0.71,0.00,0.71,0.723,0
../Instances/House_Configuration,active_BK_sat,p2_c6_t13,OK,UNSATISFIABLE,0,0.042,0.03,0.00,0.03,0.042,0
../Instances/House_Configuration,BASE,p2_c6_t13,OK,UNSATISFIABLE,0,292.056,292.05,0.00,292.05,292.049,0
../Instances/House_Configuration,SBASS,p2_c6_t13,OK,UNSATISFIABLE,0,18.672,18.66,0.00,18.66,18.672,92025867
../Instances/House_Configuration,active_BK,p2_c7_t15,OK,UNSATISFIABLE,0,23.863,23.86,0.00,23.86,23.862,0
../Instances/House_Configuration,active_BK_sat,p2_c7_t15,OK,UNSATISFIABLE,0,0.736,0.72,0.00,0.72,0.736,0
../Instances/House_Configuration,BASE,p2_c7_t15,OK,UNKNOWN,0+,900.000,899.99,0.00,0.00,899.978,0
../Instances/House_Configuration,SBASS,p2_c7_t15,OK,UNKNOWN,0+,900.000,899.99,0.00,0.00,899.981,111386575
../Instances/House_Configuration,active_BK,p2_c80_t160,OK,SATISFIABLE,1+,7.861,0.09,0.09,0.00,7.860,0
../Instances/House_Configuration,active_BK_sat,p2_c80_t160,OK,SATISFIABLE,1+,8.498,0.07,0.07,0.00,8.498,0
../Instances/House_Configuration,BASE,p2_c80_t160,OK,SATISFIABLE,1+,10.274,0.15,0.15,0.00,10.274,0
../Instances/House_Configuration,SBASS,p2_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/House_Configuration,active_BK,p3_c6_t13,OK,UNSATISFIABLE,0,0.555,0.54,0.00,0.54,0.555,0
../Instances/House_Configuration,active_BK_sat,p3_c6_t13,OK,UNSATISFIABLE,0,0.059,0.04,0.00,0.04,0.059,0
../Instances/House_Configuration,BASE,p3_c6_t13,OK,UNSATISFIABLE,0,344.526,344.51,0.00,344.51,344.517,0
../Instances/House_Configuration,SBASS,p3_c6_t13,OK,UNSATISFIABLE,0,102.544,102.53,0.00,102.53,102.542,217355644
../Instances/House_Configuration,active_BK,p3_c7_t15,OK,UNSATISFIABLE,0,21.845,21.83,0.00,21.83,21.844,0
../Instances/House_Configuration,active_BK_sat,p3_c7_t15,OK,UNSATISFIABLE,0,0.485,0.47,0.00,0.47,0.485,0
../Instances/House_Configuration,BASE,p3_c7_t15,OK,UNKNOWN,0+,900.000,899.98,0.00,0.00,899.986,0
../Instances/House_Configuration,SBASS,p3_c7_t15,OK,UNKNOWN,0+,900.000,899.97,0.00,0.00,899.985,511704903
../Instances/House_Configuration,active_BK,p3_c80_t160,OK,SATISFIABLE,1+,21.588,0.20,0.20,0.00,21.587,0
../Instances/House_Configuration,active_BK_sat,p3_c80_t160,OK,SATISFIABLE,1+,22.331,0.14,0.14,0.00,22.331,0
../Instances/House_Configuration,BASE,p3_c80_t160,OK,SATISFIABLE,1+,29.295,0.15,0.15,0.00,29.295,0
../Instances/House_Configuration,SBASS,p3_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/House_Configuration,active_BK,p4_c6_t13,OK,UNSATISFIABLE,0,0.609,0.59,0.00,0.59,0.609,0
../Instances/House_Configuration,active_BK_sat,p4_c6_t13,OK,UNSATISFIABLE,0,0.063,0.04,0.00,0.04,0.063,0
../Instances/House_Configuration,BASE,p4_c6_t13,OK,UNSATISFIABLE,0,303.573,303.54,0.00,303.54,303.568,0
../Instances/House_Configuration,SBASS,p4_c6_t13,OK,UNSATISFIABLE,0,145.049,145.02,0.00,145.02,145.047,728951069
../Instances/House_Configuration,active_BK,p4_c7_t15,OK,UNSATISFIABLE,0,18.770,18.75,0.00,18.75,18.770,0
../Instances/House_Configuration,active_BK_sat,p4_c7_t15,OK,UNSATISFIABLE,0,0.464,0.44,0.00,0.44,0.464,0
../Instances/House_Configuration,BASE,p4_c7_t15,OK,UNKNOWN,0+,900.000,899.97,0.00,0.00,899.984,0
../Instances/House_Configuration,SBASS,p4_c7_t15,OK,UNKNOWN,0+,900.000,899.95,0.00,0.00,899.985,1060451741
../Instances/House_Configuration,active_BK,p4_c80_t160,OK,SATISFIABLE,1+,41.551,0.34,0.34,0.00,41.550,0
../Instances/House_Configuration,active_BK_sat,p4_c80_t160,OK,SATISFIABLE,1+,43.521,0.20,0.20,0.00,43.519,0
../Instances/House_Configuration,BASE,p4_c80_t160,OK,SATISFIABLE,1+,59.380,0.29,0.29,0.00,59.378,0
../Instances/House_Configuration,SBASS,p4_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/House_Configuration,active_BK,p5_c6_t13,OK,UNSATISFIABLE,0,0.705,0.66,0.00,0.66,0.705,0
../Instances/House_Configuration,active_BK_sat,p5_c6_t13,OK,UNSATISFIABLE,0,0.072,0.03,0.00,0.03,0.072,0
../Instances/House_Configuration,BASE,p5_c6_t13,OK,UNSATISFIABLE,0,329.670,329.62,0.00,329.62,329.664,0
../Instances/House_Configuration,SBASS,p5_c6_t13,OK,UNSATISFIABLE,0,582.101,582.07,0.00,582.07,582.091,1174859577
../Instances/House_Configuration,active_BK,p5_c80_t160,OK,SATISFIABLE,1+,69.009,0.41,0.41,0.00,69.007,0
../Instances/House_Configuration,active_BK_sat,p5_c80_t160,OK,SATISFIABLE,1+,72.756,0.32,0.32,0.00,72.754,0
../Instances/House_Configuration,BASE,p5_c80_t160,OK,SATISFIABLE,1+,99.911,0.46,0.46,0.00,99.908,0
../Instances/House_Configuration,SBASS,p5_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/House_Configuration,active_BK,p6_c80_t160,OK,SATISFIABLE,1+,102.937,0.56,0.56,0.00,102.932,0
../Instances/House_Configuration,active_BK_sat,p6_c80_t160,OK,SATISFIABLE,1+,107.733,0.51,0.51,0.00,107.729,0
../Instances/House_Configuration,BASE,p6_c80_t160,OK,SATISFIABLE,1+,147.309,0.51,0.51,0.00,147.306,0
../Instances/House_Configuration,SBASS,p6_c80_t160,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Color,active_BK,c1_p12_h11,OK,UNSATISFIABLE,0,2.643,2.64,0.00,2.64,2.642,0
../Instances/Pigeon_Color,active_BK_sat,c1_p12_h11,OK,UNSATISFIABLE,0,0.005,0.00,0.00,0.00,0.005,0
../Instances/Pigeon_Color,BASE,c1_p12_h11,OK,UNKNOWN,0+,900.000,900.00,0.00,0.00,899.985,0
../Instances/Pigeon_Color,SBASS,c1_p12_h11,OK,UNSATISFIABLE,0,0.018,0.01,0.00,0.01,0.018,758801290
../Instances/Pigeon_Color,active_BK,c1_p52_h52,OK,SATISFIABLE,1+,0.339,0.02,0.02,0.00,0.339,0
../Instances/Pigeon_Color,active_BK_sat,c1_p52_h52,OK,SATISFIABLE,1,0.223,0.00,0.00,0.00,0.223,0
../Instances/Pigeon_Color,BASE,c1_p52_h52,OK,SATISFIABLE,1+,0.342,0.02,0.02,0.00,0.342,0
../Instances/Pigeon_Color,SBASS,c1_p52_h52,OK,SATISFIABLE,1+,1.622,0.51,0.51,0.00,1.622,63749064190
../Instances/Pigeon_Color,active_BK,c2_p12_h12,OK,UNSATISFIABLE,0,9.512,9.50,0.00,9.50,9.512,0
../Instances/Pigeon_Color,active_BK_sat,c2_p12_h12,OK,UNSATISFIABLE,0,0.012,0.00,0.00,0.00,0.012,0
../Instances/Pigeon_Color,BASE,c2_p12_h12,OK,UNKNOWN,0+,900.000,899.98,0.00,0.00,899.984,0
../Instances/Pigeon_Color,SBASS,c2_p12_h12,OK,UNKNOWN,0+,900.000,899.98,0.00,0.00,899.985,85580914
../Instances/Pigeon_Color,active_BK,c2_p52_h53,OK,SATISFIABLE,1+,0.783,0.33,0.33,0.00,0.783,0
../Instances/Pigeon_Color,active_BK_sat,c2_p52_h53,OK,SATISFIABLE,1,0.437,0.00,0.00,0.00,0.437,0
../Instances/Pigeon_Color,BASE,c2_p52_h53,OK,UNKNOWN,0+,900.000,898.74,0.00,0.00,899.977,0
../Instances/Pigeon_Color,SBASS,c2_p52_h53,OK,UNKNOWN,0+,900.000,898.13,0.00,0.00,899.978,103843714637
../Instances/Pigeon_Color,active_BK,c3_p12_h13,OK,UNSATISFIABLE,0,6.442,6.43,0.00,6.43,6.442,0
../Instances/Pigeon_Color,active_BK_sat,c3_p12_h13,OK,UNSATISFIABLE,0,0.021,0.00,0.00,0.00,0.021,0
../Instances/Pigeon_Color,BASE,c3_p12_h13,OK,UNKNOWN,0+,900.000,899.96,0.00,0.00,899.975,0
../Instances/Pigeon_Color,SBASS,c3_p12_h13,OK,UNKNOWN,0+,900.000,899.97,0.00,0.00,899.983,239580476
../Instances/Pigeon_Color,active_BK,c3_p52_h54,OK,SATISFIABLE,1+,6.892,5.83,5.83,0.00,6.892,0
../Instances/Pigeon_Color,active_BK_sat,c3_p52_h54,OK,SATISFIABLE,1+,0.972,0.00,0.00,0.00,0.972,0
../Instances/Pigeon_Color,BASE,c3_p52_h54,OK,SATISFIABLE,1+,2.814,0.02,0.02,0.00,2.814,0
../Instances/Pigeon_Color,SBASS,c3_p52_h54,OK,UNKNOWN,0+,900.000,896.86,0.00,0.00,899.984,653216873577
../Instances/Pigeon_Color,active_BK,c4_p12_h14,OK,UNSATISFIABLE,0,6.229,6.21,0.00,6.21,6.229,0
../Instances/Pigeon_Color,active_BK_sat,c4_p12_h14,OK,UNSATISFIABLE,0,0.023,0.00,0.00,0.00,0.023,0
../Instances/Pigeon_Color,BASE,c4_p12_h14,OK,UNKNOWN,0+,900.000,899.93,0.00,0.00,899.984,0
../Instances/Pigeon_Color,SBASS,c4_p12_h14,OK,UNKNOWN,0+,900.000,899.95,0.00,0.00,899.983,675359982
../Instances/Pigeon_Color,active_BK,c4_p52_h55,OK,SATISFIABLE,1+,5.130,3.44,3.44,0.00,5.130,0
../Instances/Pigeon_Color,active_BK_sat,c4_p52_h55,OK,SATISFIABLE,1+,1.579,0.00,0.00,0.00,1.579,0
../Instances/Pigeon_Color,BASE,c4_p52_h55,OK,UNKNOWN,0+,900.000,895.07,0.00,0.00,899.975,0
../Instances/Pigeon_Color,SBASS,c4_p52_h55,OK,UNKNOWN,0+,900.000,894.95,0.00,0.00,899.972,633469181691
../Instances/Pigeon_Color,active_BK,c5_p12_h15,OK,UNSATISFIABLE,0,7.928,7.89,0.00,7.89,7.928,0
../Instances/Pigeon_Color,active_BK_sat,c5_p12_h15,OK,UNSATISFIABLE,0,0.043,0.01,0.00,0.01,0.043,0
../Instances/Pigeon_Color,BASE,c5_p12_h15,OK,UNKNOWN,0+,900.000,899.88,0.00,0.00,899.981,0
../Instances/Pigeon_Color,SBASS,c5_p12_h15,OK,UNKNOWN,0+,900.000,899.93,0.00,0.00,899.968,1076708563
../Instances/Pigeon_Color,active_BK,c5_p52_h56,OK,SATISFIABLE,1+,27.226,24.73,24.73,0.00,27.225,0
../Instances/Pigeon_Color,active_BK_sat,c5_p52_h56,OK,SATISFIABLE,1+,2.383,0.01,0.01,0.00,2.383,0
../Instances/Pigeon_Color,BASE,c5_p52_h56,OK,SATISFIABLE,1+,8.447,0.03,0.03,0.00,8.446,0
../Instances/Pigeon_Color,SBASS,c5_p52_h56,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p100_h100,OK,SATISFIABLE,1,1.200,0.00,0.00,0.00,1.200,0
../Instances/Pigeon_Hole,active_BK_sat,p100_h100,OK,SATISFIABLE,1,1.301,0.00,0.00,0.00,1.301,0
../Instances/Pigeon_Hole,BASE,p100_h100,OK,SATISFIABLE,1+,1.845,0.03,0.03,0.00,1.845,0
../Instances/Pigeon_Hole,SBASS,p100_h100,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p100_h99,OK,UNSATISFIABLE,0,1.139,0.00,0.00,0.00,1.139,0
../Instances/Pigeon_Hole,active_BK_sat,p100_h99,OK,UNSATISFIABLE,0,1.188,0.00,0.00,0.00,1.188,0
../Instances/Pigeon_Hole,BASE,p100_h99,OK,UNKNOWN,0+,900.000,898.10,0.00,0.00,899.985,0
../Instances/Pigeon_Hole,SBASS,p100_h99,Timeout,UNKNOWN,0+,900,0,0,0,0,900
../Instances/Pigeon_Hole,active_BK,p200_h199,OK,UNSATISFIABLE,0,8.648,0.00,0.00,0.00,8.648,0
../Instances/Pigeon_Hole,active_BK_sat,p200_h199,OK,UNSATISFIABLE,0,8.443,0.00,0.00,0.00,8.443,0
../Instances/Pigeon_Hole,BASE,p200_h199,OK,UNKNOWN,0+,900.000,885.34,0.00,0.00,899.986,0
