ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
100_Enumerate_Alternative_Full_1_DEFAULT_30414_Un-2-double-6,0,0
101_Enumerate_Alternative_Full_2_DEFAULT_7830_Un-2-double-6,0,0
102_Enumerate_Alternative_Full_3_DEFAULT_31417_Un-2-double-6,0,0
103_Enumerate_Alternative_Full_1_DEFAULT_31869_Un-2-double-6,0,0
104_Enumerate_Alternative_Full_2_DEFAULT_22564_Un-2-double-6,0,0
105_Enumerate_Alternative_Full_3_DEFAULT_7051_Un-2-double-6,0,0
107_Enumerate_Alternative_Full_2_DEFAULT_12158_Un-2-double-6,0,0
108_Enumerate_Alternative_Full_3_DEFAULT_16923_Un-2-double-6,0,0
109_Enumerate_Alternative_Full_1_DEFAULT_16687_Un-2-double-6,0,0
10_Enumerate_Alternative_Full_1_DEFAULT_8598_Un-2-double-6,0,0
110_Enumerate_Alternative_Full_2_DEFAULT_27416_Un-2-double-6,0,0.02
111_Enumerate_Alternative_Full_3_DEFAULT_21083_Un-2-double-6,0,0.04
112_Enumerate_Alternative_Full_1_DEFAULT_16567_Un-2-double-6,0,0
113_Enumerate_Alternative_Full_2_DEFAULT_70_Un-2-double-6,0,0
114_Enumerate_Alternative_Full_3_DEFAULT_22154_Un-2-double-6,0,0
115_Enumerate_Alternative_Full_1_DEFAULT_16699_Un-2-double-6,0,0.02
117_Enumerate_Alternative_Full_3_DEFAULT_15838_Un-2-double-6,0,0
118_Enumerate_Alternative_Full_1_DEFAULT_2753_Un-2-double-6,0,0.02
13_Enumerate_Alternative_Full_1_DEFAULT_29690_Un-2-double-6,0,0
15_Enumerate_Alternative_Full_3_DEFAULT_1743_Un-2-double-6,0,0
16_Enumerate_Alternative_Full_1_DEFAULT_26740_Un-2-double-6,0,0
17_Enumerate_Alternative_Full_2_DEFAULT_22856_Un-2-double-6,0,0
18_Enumerate_Alternative_Full_3_DEFAULT_25148_Un-2-double-6,0,0.05
19_Enumerate_Alternative_Full_1_DEFAULT_6751_Un-2-double-6,0,0
1_Enumerate_Alternative_Full_1_DEFAULT_31681_Un-2-double-6,0,0
21_Enumerate_Alternative_Full_3_DEFAULT_717_Un-2-double-6,0,0
22_Enumerate_Alternative_Full_1_DEFAULT_16849_Un-2-double-6,0,0
23_Enumerate_Alternative_Full_2_DEFAULT_29843_Un-2-double-6,0,0
24_Enumerate_Alternative_Full_3_DEFAULT_8299_Un-2-double-6,0,0
26_Enumerate_Alternative_Full_2_DEFAULT_24419_Un-2-double-6,0,0
28_Enumerate_Alternative_Full_1_DEFAULT_11547_Un-2-double-6,0,0.02
29_Enumerate_Alternative_Full_2_DEFAULT_7260_Un-2-double-6,0,0
2_Enumerate_Alternative_Full_2_DEFAULT_4634_Un-2-double-6,0,0
30_Enumerate_Alternative_Full_3_DEFAULT_21865_Un-2-double-6,0,0
31_Enumerate_Alternative_Full_1_DEFAULT_16017_Un-2-double-6,0,0
32_Enumerate_Alternative_Full_2_DEFAULT_29417_Un-2-double-6,0,0
34_Enumerate_Alternative_Full_1_DEFAULT_10456_Un-2-double-6,0,0
35_Enumerate_Alternative_Full_2_DEFAULT_25977_Un-2-double-6,0,0
36_Enumerate_Alternative_Full_3_DEFAULT_20418_Un-2-double-6,0,0
37_Enumerate_Alternative_Full_1_DEFAULT_3380_Un-2-double-6,0,0
38_Enumerate_Alternative_Full_2_DEFAULT_4490_Un-2-double-6,0,0
3_Enumerate_Alternative_Full_3_DEFAULT_16837_Un-2-double-6,0,0
40_Enumerate_Alternative_Full_1_DEFAULT_14157_Un-2-double-6,0,0
41_Enumerate_Alternative_Full_2_DEFAULT_69_Un-2-double-6,0,0
42_Enumerate_Alternative_Full_3_DEFAULT_3023_Un-2-double-6,0,0
