ID_FILE_1,SOLVING_TIME_DEFAULT,SOLVING_TIME_CUSTOM
120_Enumerate_Alternative_Full_3_DEFAULT_6602_2-doublev-15,0,0.05
110_Enumerate_Alternative_Full_2_DEFAULT_27416_2-doublev-18,0,0.06
117_Enumerate_Alternative_Full_3_DEFAULT_15838_2-doublev-18,0,0.02
12_Enumerate_Alternative_Full_3_DEFAULT_31928_2-doublev-18,0,0
101_Enumerate_Alternative_Full_2_DEFAULT_7830_2-doublev-9,0,0
103_Enumerate_Alternative_Full_1_DEFAULT_31869_2-doublev-9,0,0
107_Enumerate_Alternative_Full_2_DEFAULT_12158_2-doublev-9,0,0
108_Enumerate_Alternative_Full_3_DEFAULT_16923_2-doublev-9,0,0
109_Enumerate_Alternative_Full_1_DEFAULT_16687_2-doublev-9,0,0
111_Enumerate_Alternative_Full_3_DEFAULT_21083_2-doublev-9,0,0
112_Enumerate_Alternative_Full_1_DEFAULT_16567_2-doublev-9,0,0.01
116_Enumerate_Alternative_Full_2_DEFAULT_25944_2-doublev-9,0,0.01
117_Enumerate_Alternative_Full_3_DEFAULT_15838_2-doublev-9,0,0
118_Enumerate_Alternative_Full_1_DEFAULT_2753_2-doublev-9,0,0
120_Enumerate_Alternative_Full_3_DEFAULT_6602_2-doublev-9,0,0
25_Enumerate_Alternative_Full_1_DEFAULT_6709_2-doublev-9,0,0
28_Enumerate_Alternative_Full_1_DEFAULT_11547_2-doublev-9,0,0
34_Enumerate_Alternative_Full_1_DEFAULT_10456_2-doublev-9,0,0
35_Enumerate_Alternative_Full_2_DEFAULT_25977_2-doublev-9,0,0
44_Enumerate_Alternative_Full_2_DEFAULT_13524_2-doublev-9,0,0
49_Enumerate_Alternative_Full_1_DEFAULT_6652_2-doublev-9,0,0.01
59_Enumerate_Alternative_Full_2_DEFAULT_16281_2-doublev-9,0,0
62_Enumerate_Alternative_Full_2_DEFAULT_21352_2-doublev-9,0,0
64_Enumerate_Alternative_Full_1_DEFAULT_24318_2-doublev-9,0,0.01
87_Enumerate_Alternative_Full_3_DEFAULT_14775_2-doublev-9,0,0
89_Enumerate_Alternative_Full_2_DEFAULT_9472_2-doublev-9,0,0
94_Enumerate_Alternative_Full_1_DEFAULT_13727_2-doublev-9,0,0
101_Enumerate_Alternative_Full_2_DEFAULT_7830_2-doublev-12,0,0
28_Enumerate_Alternative_Full_1_DEFAULT_11547_2-doublev-12,0,0.02
