Problem,Encoding,Instance,Result,OptVal,Time,Solving
./double/,ABK,2-double-10,OPTIMUM FOUND,7,0.030,0.02
./double/,ENC2,2-double-10,OPTIMUM FOUND,7,0.221,0.21
./double/,BASE,2-double-10,SATISFIABLE,7,300.000,299.99
./double/,ABK,2-double-12,OPTIMUM FOUND,8,0.057,0.05
./double/,ENC2,2-double-12,OPTIMUM FOUND,8,1.295,1.28
./double/,BASE,2-double-12,SATISFIABLE,8,300.000,299.99
./double/,ABK,2-double-14,OPTIMUM FOUND,10,0.075,0.06
./double/,ENC2,2-double-14,OPTIMUM FOUND,10,167.002,166.99
./double/,BASE,2-double-14,SATISFIABLE,10,300.000,299.98
./double/,ABK,2-double-16,OPTIMUM FOUND,11,0.223,0.20
./double/,ENC2,2-double-16,SATISFIABLE,11,300.000,299.98
./double/,BASE,2-double-16,SATISFIABLE,11,300.000,299.98
./double/,ABK,2-double-18,OPTIMUM FOUND,13,1.642,1.62
./double/,ENC2,2-double-18,SATISFIABLE,13,300.000,299.98
./double/,BASE,2-double-18,SATISFIABLE,13,300.000,299.97
./double/,ABK,2-double-20,OPTIMUM FOUND,14,1.680,1.65
./double/,ENC2,2-double-20,SATISFIABLE,14,300.000,299.98
./double/,BASE,2-double-20,SATISFIABLE,14,300.000,299.97
./double/,ABK,2-double-22,OPTIMUM FOUND,16,5.090,5.04
./double/,ENC2,2-double-22,SATISFIABLE,16,300.000,299.97
./double/,BASE,2-double-22,SATISFIABLE,16,300.000,299.96
./double/,ABK,2-double-24,OPTIMUM FOUND,17,15.111,15.06
./double/,ENC2,2-double-24,SATISFIABLE,17,300.000,299.97
./double/,BASE,2-double-24,SATISFIABLE,17,300.000,299.95
./double/,ABK,2-double-26,OPTIMUM FOUND,19,11.764,11.71
./double/,ENC2,2-double-26,SATISFIABLE,19,300.000,299.96
./double/,BASE,2-double-26,SATISFIABLE,19,300.000,299.92
./double/,ABK,2-double-28,OPTIMUM FOUND,20,16.629,16.56
./double/,ENC2,2-double-28,SATISFIABLE,20,300.000,299.95
./double/,BASE,2-double-28,SATISFIABLE,20,300.000,299.92
./double/,ABK,2-double-30,OPTIMUM FOUND,22,57.621,57.54
./double/,ENC2,2-double-30,SATISFIABLE,22,300.000,299.94
./double/,BASE,2-double-30,SATISFIABLE,22,300.000,299.90
./double/,ABK,2-double-32,OPTIMUM FOUND,23,27.655,27.56
./double/,ENC2,2-double-32,SATISFIABLE,23,300.000,299.94
./double/,BASE,2-double-32,SATISFIABLE,23,300.000,299.88
./double/,ABK,2-double-34,OPTIMUM FOUND,25,192.490,192.38
./double/,ENC2,2-double-34,SATISFIABLE,25,300.000,299.92
./double/,BASE,2-double-34,SATISFIABLE,25,300.000,299.82
./double/,ABK,2-double-36,OPTIMUM FOUND,26,126.968,126.83
./double/,ENC2,2-double-36,SATISFIABLE,26,300.000,299.91
./double/,BASE,2-double-36,SATISFIABLE,26,300.000,299.82
./double/,ABK,2-double-38,OPTIMUM FOUND,28,43.420,43.25
./double/,ENC2,2-double-38,SATISFIABLE,28,300.000,299.88
./double/,BASE,2-double-38,SATISFIABLE,28,300.000,299.78
./double/,ABK,2-double-40,SATISFIABLE,29,300.000,299.78
./double/,ENC2,2-double-40,SATISFIABLE,29,300.000,299.88
./double/,BASE,2-double-40,SATISFIABLE,29,300.000,299.75
./double/,ABK,2-double-50,SATISFIABLE,37,300.000,299.57
./double/,ENC2,2-double-50,SATISFIABLE,37,300.000,299.74
./double/,BASE,2-double-50,UNKNOWN,,300.000,299.45
./double/,ABK,2-double-6,OPTIMUM FOUND,4,0.007,0.00
./double/,ENC2,2-double-6,OPTIMUM FOUND,4,0.005,0.00
./double/,BASE,2-double-6,OPTIMUM FOUND,4,0.011,0.01
./double/,ABK,2-double-8,OPTIMUM FOUND,5,0.013,0.00
./double/,ENC2,2-double-8,OPTIMUM FOUND,5,0.010,0.00
./double/,BASE,2-double-8,OPTIMUM FOUND,5,0.263,0.25
