Problem,Encoding,Instance,Result,OptVal,Time,Solving
double/,ABK,2-double-10,OPTIMUM FOUND,7,0.046,0.04
double/,ENC2,2-double-10,OPTIMUM FOUND,7,0.174,0.17
double/,BASE,2-double-10,UNKNOWN,[6;*],300.000,299.99
double/,ABK,2-double-12,OPTIMUM FOUND,8,0.129,0.12
double/,ENC2,2-double-12,OPTIMUM FOUND,8,0.774,0.77
double/,BASE,2-double-12,UNKNOWN,[5;*],300.000,299.99
double/,ABK,2-double-14,OPTIMUM FOUND,10,0.118,0.11
double/,ENC2,2-double-14,OPTIMUM FOUND,10,239.749,239.74
double/,BASE,2-double-14,UNKNOWN,[5;*],300.000,299.99
double/,ABK,2-double-16,OPTIMUM FOUND,11,0.411,0.40
double/,ENC2,2-double-16,UNKNOWN,[9;*],300.000,299.99
double/,BASE,2-double-16,UNKNOWN,[4;*],300.000,299.99
double/,ABK,2-double-18,OPTIMUM FOUND,13,3.469,3.45
double/,ENC2,2-double-18,UNKNOWN,[9;*],300.000,299.99
double/,BASE,2-double-18,UNKNOWN,[4;*],300.000,299.98
double/,ABK,2-double-20,OPTIMUM FOUND,14,2.998,2.97
double/,ENC2,2-double-20,UNKNOWN,[9;*],300.000,299.98
double/,BASE,2-double-20,UNKNOWN,[4;*],300.000,299.97
double/,ABK,2-double-22,OPTIMUM FOUND,16,14.570,14.54
double/,ENC2,2-double-22,UNKNOWN,[9;*],300.000,299.98
double/,BASE,2-double-22,UNKNOWN,[4;*],300.000,299.96
double/,ABK,2-double-24,OPTIMUM FOUND,17,27.174,27.13
double/,ENC2,2-double-24,UNKNOWN,[9;*],300.000,299.97
double/,BASE,2-double-24,UNKNOWN,[4;*],300.000,299.95
double/,ABK,2-double-26,OPTIMUM FOUND,19,26.110,26.05
double/,ENC2,2-double-26,UNKNOWN,[8;*],300.000,299.96
double/,BASE,2-double-26,UNKNOWN,[3;*],300.000,299.93
double/,ABK,2-double-28,OPTIMUM FOUND,20,75.180,75.11
double/,ENC2,2-double-28,UNKNOWN,[9;*],300.000,299.96
double/,BASE,2-double-28,UNKNOWN,[3;*],300.000,299.92
double/,ABK,2-double-30,OPTIMUM FOUND,22,192.195,192.11
double/,ENC2,2-double-30,UNKNOWN,[9;*],300.000,299.95
double/,BASE,2-double-30,UNKNOWN,[3;*],300.000,299.89
double/,ABK,2-double-32,OPTIMUM FOUND,23,69.176,69.08
double/,ENC2,2-double-32,UNKNOWN,[8;*],300.000,299.94
double/,BASE,2-double-32,UNKNOWN,[3;*],300.000,299.87
double/,ABK,2-double-34,OPTIMUM FOUND,25,276.603,276.47
double/,ENC2,2-double-34,UNKNOWN,[8;*],300.000,299.92
double/,BASE,2-double-34,UNKNOWN,[3;*],300.000,299.84
double/,ABK,2-double-36,UNKNOWN,[20;*],300.000,299.87
double/,ENC2,2-double-36,UNKNOWN,[8;*],300.000,299.92
double/,BASE,2-double-36,UNKNOWN,[3;*],300.000,299.83
double/,ABK,2-double-38,UNKNOWN,[20;*],300.000,299.83
double/,ENC2,2-double-38,UNKNOWN,[9;*],300.000,299.90
double/,BASE,2-double-38,UNKNOWN,[3;*],300.000,299.77
double/,ABK,2-double-40,UNKNOWN,[17;*],300.000,299.81
double/,ENC2,2-double-40,UNKNOWN,[9;*],300.000,299.89
double/,BASE,2-double-40,UNKNOWN,[3;*],300.000,299.71
double/,ABK,2-double-50,UNKNOWN,[16;*],300.000,299.59
double/,ENC2,2-double-50,UNKNOWN,[7;*],300.000,299.76
double/,BASE,2-double-50,UNKNOWN,[3;*],300.000,299.45
double/,ABK,2-double-6,OPTIMUM FOUND,4,0.004,0.00
double/,ENC2,2-double-6,OPTIMUM FOUND,4,0.003,0.00
double/,BASE,2-double-6,OPTIMUM FOUND,4,0.006,0.00
double/,ABK,2-double-8,OPTIMUM FOUND,5,0.006,0.00
double/,ENC2,2-double-8,OPTIMUM FOUND,5,0.006,0.00
double/,BASE,2-double-8,OPTIMUM FOUND,5,0.278,0.28
