Problem,Encoding,Instance,Result,OptVal,Time,Solving
./doublev/,ABK,2-doublev-12,OPTIMUM FOUND,6,0.016,0.01
./doublev/,ENC2,2-doublev-12,OPTIMUM FOUND,6,0.046,0.04
./doublev/,BASE,2-doublev-12,OPTIMUM FOUND,6,21.490,21.48
./doublev/,ABK,2-doublev-15,OPTIMUM FOUND,8,0.040,0.02
./doublev/,ENC2,2-doublev-15,OPTIMUM FOUND,8,0.382,0.37
./doublev/,BASE,2-doublev-15,SATISFIABLE,8,300.000,299.99
./doublev/,ABK,2-doublev-18,OPTIMUM FOUND,9,0.046,0.03
./doublev/,ENC2,2-doublev-18,OPTIMUM FOUND,9,1.034,1.02
./doublev/,BASE,2-doublev-18,SATISFIABLE,9,300.000,299.98
./doublev/,ABK,2-doublev-21,OPTIMUM FOUND,11,0.081,0.06
./doublev/,ENC2,2-doublev-21,OPTIMUM FOUND,11,14.518,14.50
./doublev/,BASE,2-doublev-21,SATISFIABLE,11,300.000,299.98
./doublev/,ABK,2-doublev-24,OPTIMUM FOUND,12,0.161,0.13
./doublev/,ENC2,2-doublev-24,OPTIMUM FOUND,12,70.010,69.99
./doublev/,BASE,2-doublev-24,SATISFIABLE,12,300.000,299.97
./doublev/,ABK,2-doublev-27,OPTIMUM FOUND,14,0.351,0.31
./doublev/,ENC2,2-doublev-27,SATISFIABLE,14,300.000,299.98
./doublev/,BASE,2-doublev-27,SATISFIABLE,14,300.000,299.96
./doublev/,ABK,2-doublev-30,OPTIMUM FOUND,15,0.452,0.40
./doublev/,ENC2,2-doublev-30,SATISFIABLE,15,300.000,299.97
./doublev/,BASE,2-doublev-30,SATISFIABLE,15,300.000,299.95
./doublev/,ABK,2-doublev-33,OPTIMUM FOUND,17,1.388,1.33
./doublev/,ENC2,2-doublev-33,SATISFIABLE,17,300.000,299.96
./doublev/,BASE,2-doublev-33,SATISFIABLE,17,300.000,299.93
./doublev/,ABK,2-doublev-36,OPTIMUM FOUND,18,3.030,2.96
./doublev/,ENC2,2-doublev-36,SATISFIABLE,18,300.000,299.96
./doublev/,BASE,2-doublev-36,SATISFIABLE,18,300.000,299.90
./doublev/,ABK,2-doublev-39,OPTIMUM FOUND,20,3.274,3.18
./doublev/,ENC2,2-doublev-39,SATISFIABLE,20,300.000,299.95
./doublev/,BASE,2-doublev-39,SATISFIABLE,20,300.000,299.88
./doublev/,ABK,2-doublev-42,OPTIMUM FOUND,21,4.380,4.27
./doublev/,ENC2,2-doublev-42,SATISFIABLE,21,300.000,299.94
./doublev/,BASE,2-doublev-42,SATISFIABLE,21,300.000,299.84
./doublev/,ABK,2-doublev-45,OPTIMUM FOUND,23,9.848,9.69
./doublev/,ENC2,2-doublev-45,SATISFIABLE,23,300.000,299.93
./doublev/,BASE,2-doublev-45,SATISFIABLE,23,300.000,299.81
./doublev/,ABK,2-doublev-48,OPTIMUM FOUND,24,9.048,8.86
./doublev/,ENC2,2-doublev-48,SATISFIABLE,24,300.000,299.93
./doublev/,BASE,2-doublev-48,SATISFIABLE,24,300.000,299.74
./doublev/,ABK,2-doublev-54,OPTIMUM FOUND,27,24.817,24.58
./doublev/,ENC2,2-doublev-54,SATISFIABLE,27,300.000,299.90
./doublev/,BASE,2-doublev-54,SATISFIABLE,27,300.000,299.68
./doublev/,ABK,2-doublev-57,OPTIMUM FOUND,29,29.372,29.08
./doublev/,ENC2,2-doublev-57,SATISFIABLE,29,300.000,299.88
./doublev/,BASE,2-doublev-57,SATISFIABLE,29,300.000,299.61
./doublev/,ABK,2-doublev-60,OPTIMUM FOUND,30,28.821,28.47
./doublev/,ENC2,2-doublev-60,SATISFIABLE,30,300.000,299.84
./doublev/,BASE,2-doublev-60,SATISFIABLE,30,300.000,299.55
./doublev/,ABK,2-doublev-75,OPTIMUM FOUND,38,70.581,69.85
./doublev/,ENC2,2-doublev-75,SATISFIABLE,38,300.000,299.73
./doublev/,BASE,2-doublev-75,SATISFIABLE,38,300.000,299.04
./doublev/,ABK,2-doublev-9,OPTIMUM FOUND,5,0.032,0.02
./doublev/,ENC2,2-doublev-9,OPTIMUM FOUND,5,0.010,0.00
./doublev/,BASE,2-doublev-9,OPTIMUM FOUND,5,0.229,0.22
