Problem,Encoding,Instance,Result,OptVal,Time,Solving
./doublev/,ABK,2-doublev-15,OPTIMUM FOUND,8,0.04,0.02
./doublev/,ENC2,2-doublev-15,OPTIMUM FOUND,8,0.382,0.37
./doublev/,BASE,2-doublev-15,SATISFIABLE,8,300,299.99
./doublev/,ABK,2-doublev-18,OPTIMUM FOUND,9,0.046,0.03
./doublev/,ENC2,2-doublev-18,OPTIMUM FOUND,9,1.034,1.02
./doublev/,BASE,2-doublev-18,SATISFIABLE,9,300,299.98
./doublev/,ABK,2-doublev-21,OPTIMUM FOUND,11,0.081,0.06
./doublev/,ENC2,2-doublev-21,OPTIMUM FOUND,11,14.518,14.5
./doublev/,BASE,2-doublev-21,SATISFIABLE,11,300,299.98
./doublev/,ABK,2-doublev-24,OPTIMUM FOUND,12,0.161,0.13
./doublev/,ENC2,2-doublev-24,OPTIMUM FOUND,12,70.01,69.99
./doublev/,BASE,2-doublev-24,SATISFIABLE,12,300,299.97
./doublev/,ABK,2-doublev-27,OPTIMUM FOUND,14,0.351,0.31
./doublev/,ENC2,2-doublev-27,SATISFIABLE,14,300,299.98
./doublev/,BASE,2-doublev-27,SATISFIABLE,14,300,299.96
./doublev/,ABK,2-doublev-30,OPTIMUM FOUND,15,0.452,0.4
./doublev/,ENC2,2-doublev-30,SATISFIABLE,15,300,299.97
./doublev/,BASE,2-doublev-30,SATISFIABLE,15,300,299.95
./doublev/,ABK,2-doublev-54,OPTIMUM FOUND,27,24.817,24.58
./doublev/,ENC2,2-doublev-54,SATISFIABLE,27,300,299.9
./doublev/,BASE,2-doublev-54,SATISFIABLE,27,300,299.68
./doublev/,ABK,2-doublev-57,OPTIMUM FOUND,29,29.372,29.08
./doublev/,ENC2,2-doublev-57,SATISFIABLE,29,300,299.88
./doublev/,BASE,2-doublev-57,SATISFIABLE,29,300,299.61
./doublev/,ABK,2-doublev-60,OPTIMUM FOUND,30,28.821,28.47
./doublev/,ENC2,2-doublev-60,SATISFIABLE,30,300,299.84
./doublev/,BASE,2-doublev-60,SATISFIABLE,30,300,299.55
./doublev/,ABK,2-doublev-75,OPTIMUM FOUND,38,70.581,69.85
./doublev/,ENC2,2-doublev-75,SATISFIABLE,38,300,299.73
./doublev/,BASE,2-doublev-75,SATISFIABLE,38,300,299.04
