Problem,Encoding,Instance,Result,OptVal,Time,Solving
doublev/,ABK,2-doublev-12,OPTIMUM FOUND,6,0.033,0.03
doublev/,ENC2,2-doublev-12,OPTIMUM FOUND,6,0.044,0.04
doublev/,BASE,2-doublev-12,OPTIMUM FOUND,6,14.063,14.06
doublev/,ABK,2-doublev-15,OPTIMUM FOUND,8,0.055,0.05
doublev/,ENC2,2-doublev-15,OPTIMUM FOUND,8,0.975,0.97
doublev/,BASE,2-doublev-15,UNKNOWN,[5;*],300.000,299.99
doublev/,ABK,2-doublev-18,OPTIMUM FOUND,9,0.100,0.09
doublev/,ENC2,2-doublev-18,OPTIMUM FOUND,9,36.265,36.26
doublev/,BASE,2-doublev-18,UNKNOWN,[5;*],300.000,299.99
doublev/,ABK,2-doublev-21,OPTIMUM FOUND,11,0.104,0.09
doublev/,ENC2,2-doublev-21,OPTIMUM FOUND,11,61.770,61.76
doublev/,BASE,2-doublev-21,UNKNOWN,[4;*],300.000,299.98
doublev/,ABK,2-doublev-24,OPTIMUM FOUND,12,0.206,0.18
doublev/,ENC2,2-doublev-24,UNKNOWN,[9;*],300.000,299.99
doublev/,BASE,2-doublev-24,UNKNOWN,[4;*],300.000,299.97
doublev/,ABK,2-doublev-27,OPTIMUM FOUND,14,0.629,0.59
doublev/,ENC2,2-doublev-27,UNKNOWN,[9;*],300.000,299.98
doublev/,BASE,2-doublev-27,UNKNOWN,[4;*],300.000,299.96
doublev/,ABK,2-doublev-30,OPTIMUM FOUND,15,0.579,0.53
doublev/,ENC2,2-doublev-30,UNKNOWN,[9;*],300.000,299.98
doublev/,BASE,2-doublev-30,UNKNOWN,[4;*],300.000,299.95
doublev/,ABK,2-doublev-33,OPTIMUM FOUND,17,1.523,1.46
doublev/,ENC2,2-doublev-33,UNKNOWN,[9;*],300.000,299.97
doublev/,BASE,2-doublev-33,UNKNOWN,[4;*],300.000,299.93
doublev/,ABK,2-doublev-36,OPTIMUM FOUND,18,2.583,2.51
doublev/,ENC2,2-doublev-36,UNKNOWN,[9;*],300.000,299.97
doublev/,BASE,2-doublev-36,UNKNOWN,[4;*],300.000,299.91
doublev/,ABK,2-doublev-39,OPTIMUM FOUND,20,2.727,2.63
doublev/,ENC2,2-doublev-39,UNKNOWN,[9;*],300.000,299.96
doublev/,BASE,2-doublev-39,UNKNOWN,[3;*],300.000,299.88
doublev/,ABK,2-doublev-42,OPTIMUM FOUND,21,4.150,4.04
doublev/,ENC2,2-doublev-42,UNKNOWN,[9;*],300.000,299.95
doublev/,BASE,2-doublev-42,UNKNOWN,[3;*],300.000,299.86
doublev/,ABK,2-doublev-45,OPTIMUM FOUND,23,10.834,10.69
doublev/,ENC2,2-doublev-45,UNKNOWN,[8;*],300.000,299.94
doublev/,BASE,2-doublev-45,UNKNOWN,[3;*],300.000,299.81
doublev/,ABK,2-doublev-48,OPTIMUM FOUND,24,7.035,6.86
doublev/,ENC2,2-doublev-48,UNKNOWN,[8;*],300.000,299.93
doublev/,BASE,2-doublev-48,UNKNOWN,[3;*],300.000,299.77
doublev/,ABK,2-doublev-54,OPTIMUM FOUND,27,25.624,25.37
doublev/,ENC2,2-doublev-54,UNKNOWN,[9;*],300.000,299.90
doublev/,BASE,2-doublev-54,UNKNOWN,[3;*],300.000,299.67
doublev/,ABK,2-doublev-57,OPTIMUM FOUND,29,25.296,25.00
doublev/,ENC2,2-doublev-57,UNKNOWN,[9;*],300.000,299.88
doublev/,BASE,2-doublev-57,UNKNOWN,[3;*],300.000,299.60
doublev/,ABK,2-doublev-60,OPTIMUM FOUND,30,49.783,49.42
doublev/,ENC2,2-doublev-60,UNKNOWN,[7;*],300.000,299.86
doublev/,BASE,2-doublev-60,UNKNOWN,[3;*],300.000,299.54
doublev/,ABK,2-doublev-75,OPTIMUM FOUND,38,189.524,188.77
doublev/,ENC2,2-doublev-75,UNKNOWN,[9;*],300.000,299.72
doublev/,BASE,2-doublev-75,UNKNOWN,[3;*],300.000,299.01
doublev/,ABK,2-doublev-9,OPTIMUM FOUND,5,0.030,0.03
doublev/,ENC2,2-doublev-9,OPTIMUM FOUND,5,0.006,0.00
doublev/,BASE,2-doublev-9,OPTIMUM FOUND,5,0.303,0.30
