Problem,Encoding,Instance,Result,OptVal,Time,Solving
./fastfood/,ABK,r110_d10_r5,OPTIMUM FOUND,1030,0.797,0.76
./fastfood/,BASE,r110_d10_r5,SATISFIABLE,1030,300.000,299.97
./fastfood/,ABK,r140_d5_r5,OPTIMUM FOUND,2405,0.960,0.91
./fastfood/,BASE,r140_d5_r5,SATISFIABLE,2405,300.000,299.95
./fastfood/,ABK,r160_d30_r5,OPTIMUM FOUND,10,0.070,0.01
./fastfood/,BASE,r160_d30_r5,SATISFIABLE,10,300.000,299.94
./fastfood/,ABK,r160_d4_r5,OPTIMUM FOUND,5125,0.773,0.71
./fastfood/,BASE,r160_d4_r5,OPTIMUM FOUND,5125,277.246,277.18
./fastfood/,ABK,r180_d6_r5,OPTIMUM FOUND,4790,9.449,9.35
./fastfood/,BASE,r180_d6_r5,SATISFIABLE,4790,300.000,299.90
./fastfood/,ABK,r220_d10_r10,OPTIMUM FOUND,2060,1.479,1.40
./fastfood/,BASE,r220_d10_r10,SATISFIABLE,2060,300.000,299.93
./fastfood/,ABK,r280_d5_r10,OPTIMUM FOUND,4810,1.267,1.14
./fastfood/,BASE,r280_d5_r10,SATISFIABLE,4820,300.000,299.88
./fastfood/,ABK,r320_d30_r10,OPTIMUM FOUND,20,0.178,0.01
./fastfood/,BASE,r320_d30_r10,SATISFIABLE,20,300.000,299.84
./fastfood/,ABK,r320_d4_r10,OPTIMUM FOUND,10250,1.031,0.86
./fastfood/,BASE,r320_d4_r10,SATISFIABLE,10250,300.000,299.84
./fastfood/,ABK,r360_d6_r10,OPTIMUM FOUND,9580,12.115,11.88
./fastfood/,BASE,r360_d6_r10,SATISFIABLE,9840,300.000,299.77
./fastfood/,ABK,r44_d10_r2,OPTIMUM FOUND,412,0.540,0.52
./fastfood/,BASE,r44_d10_r2,OPTIMUM FOUND,412,10.605,10.59
./fastfood/,ABK,r57_d5_r2,OPTIMUM FOUND,962,0.763,0.74
./fastfood/,BASE,r57_d5_r2,OPTIMUM FOUND,962,6.158,6.13
./fastfood/,ABK,r64_d30_r2,OPTIMUM FOUND,4,0.048,0.02
./fastfood/,BASE,r64_d30_r2,OPTIMUM FOUND,4,1.614,1.58
./fastfood/,ABK,r64_d4_r2,OPTIMUM FOUND,2050,0.633,0.60
./fastfood/,BASE,r64_d4_r2,OPTIMUM FOUND,2050,3.237,3.21
./fastfood/,ABK,r72_d6_r2,OPTIMUM FOUND,1916,6.662,6.62
./fastfood/,BASE,r72_d6_r2,OPTIMUM FOUND,1916,74.524,74.48
