Problem,Encoding,Instance,Result,OptVal,Time,Solving
./fastfood/,ABK,r110_d10_r5,OPTIMUM FOUND,1030,0.797,0.76
./fastfood/,BASE,r110_d10_r5,SATISFIABLE,1030,300,299.97
./fastfood/,ABK,r140_d5_r5,OPTIMUM FOUND,2405,0.96,0.91
./fastfood/,BASE,r140_d5_r5,SATISFIABLE,2405,300,299.95
./fastfood/,ABK,r160_d30_r5,OPTIMUM FOUND,10,0.07,0.01
./fastfood/,BASE,r160_d30_r5,SATISFIABLE,10,300,299.94
./fastfood/,ABK,r160_d4_r5,OPTIMUM FOUND,5125,0.773,0.71
./fastfood/,BASE,r160_d4_r5,OPTIMUM FOUND,5125,277.246,277.18
./fastfood/,ABK,r180_d6_r5,OPTIMUM FOUND,4790,9.449,9.35
./fastfood/,BASE,r180_d6_r5,SATISFIABLE,4790,300,299.9
./fastfood/,ABK,r220_d10_r10,OPTIMUM FOUND,2060,1.479,1.4
./fastfood/,BASE,r220_d10_r10,SATISFIABLE,2060,300,299.93
./fastfood/,ABK,r280_d5_r10,OPTIMUM FOUND,4810,1.267,1.14
./fastfood/,BASE,r280_d5_r10,SATISFIABLE,4820,300,299.88
./fastfood/,ABK,r320_d30_r10,OPTIMUM FOUND,20,0.178,0.01
./fastfood/,BASE,r320_d30_r10,SATISFIABLE,20,300,299.84
./fastfood/,ABK,r320_d4_r10,OPTIMUM FOUND,10250,1.031,0.86
./fastfood/,BASE,r320_d4_r10,SATISFIABLE,10250,300,299.84
./fastfood/,ABK,r360_d6_r10,OPTIMUM FOUND,9580,12.115,11.88
./fastfood/,BASE,r360_d6_r10,SATISFIABLE,9840,300,299.77
