Problem,Encoding,Instance,Result,OptVal,Time,Solving
./house_configuration/,ABK,p10_c10_t20,OPTIMUM FOUND,110 110,0.452,0.08
./house_configuration/,BASE,p10_c10_t20,SATISFIABLE,110 110,300.000,299.63
./house_configuration/,ABK,p12_c12_t24,OPTIMUM FOUND,156 156,1.517,0.41
./house_configuration/,BASE,p12_c12_t24,SATISFIABLE,156 156,300.000,298.84
./house_configuration/,ABK,p14_c14_t28,OPTIMUM FOUND,210 210,3.483,0.99
./house_configuration/,BASE,p14_c14_t28,SATISFIABLE,210 210,300.000,297.55
./house_configuration/,ABK,p16_c16_t32,OPTIMUM FOUND,272 272,8.328,3.20
./house_configuration/,BASE,p16_c16_t32,SATISFIABLE,272 272,300.000,294.65
./house_configuration/,ABK,p18_c18_t36,OPTIMUM FOUND,342 342,19.234,9.65
./house_configuration/,BASE,p18_c18_t36,SATISFIABLE,342 342,300.000,290.54
./house_configuration/,ABK,p20_c20_t40,OPTIMUM FOUND,420 420,43.902,27.64
./house_configuration/,BASE,p20_c20_t40,SATISFIABLE,420 420,300.000,283.42
./house_configuration/,ABK,p22_c22_t44,OPTIMUM FOUND,506 506,68.842,41.21
./house_configuration/,BASE,p22_c22_t44,SATISFIABLE,506 506,300.000,272.31
./house_configuration/,ABK,p24_c24_t48,OPTIMUM FOUND,600 600,155.370,110.51
./house_configuration/,BASE,p24_c24_t48,SATISFIABLE,600 600,300.000,255.47
./house_configuration/,ABK,p6_c6_t12,OPTIMUM FOUND,42 42,0.036,0.00
./house_configuration/,BASE,p6_c6_t12,SATISFIABLE,42 42,300.000,299.97
./house_configuration/,ABK,p8_c8_t16,OPTIMUM FOUND,72 72,0.134,0.02
./house_configuration/,BASE,p8_c8_t16,SATISFIABLE,72 72,300.000,299.89
