Problem,Encoding,Instance,Result,OptVal,Time,Solving
pigeon_color/,ABK,c10_p10_h19,OPTIMUM FOUND,55 100,0.285,0.04
pigeon_color/,BASE,c10_p10_h19,SATISFIABLE,55 100,300.000,299.76
pigeon_color/,ABK,c12_p12_h23,OPTIMUM FOUND,78 144,0.821,0.16
pigeon_color/,BASE,c12_p12_h23,SATISFIABLE,78 144,300.000,299.35
pigeon_color/,ABK,c14_p14_h27,OPTIMUM FOUND,105 196,1.981,0.43
pigeon_color/,BASE,c14_p14_h27,SATISFIABLE,105 196,300.000,298.47
pigeon_color/,ABK,c16_p16_h31,OPTIMUM FOUND,136 256,3.804,0.59
pigeon_color/,BASE,c16_p16_h31,SATISFIABLE,136 256,300.000,296.83
pigeon_color/,ABK,c18_p18_h35,OPTIMUM FOUND,171 324,10.219,3.99
pigeon_color/,BASE,c18_p18_h35,UNKNOWN,[171;*] [0;*],300.000,293.87
pigeon_color/,ABK,c20_p20_h39,OPTIMUM FOUND,210 400,19.122,8.60
pigeon_color/,BASE,c20_p20_h39,UNKNOWN,[210;*] [0;*],300.000,289.72
pigeon_color/,ABK,c22_p22_h43,OPTIMUM FOUND,253 484,35.489,17.70
pigeon_color/,BASE,c22_p22_h43,UNKNOWN,[253;*] [0;*],300.000,282.22
pigeon_color/,ABK,c24_p24_h47,OPTIMUM FOUND,300 576,67.534,37.32
pigeon_color/,BASE,c24_p24_h47,UNKNOWN,[300;*] [0;*],300.000,270.28
pigeon_color/,ABK,c26_p26_h51,OPTIMUM FOUND,351 676,67.000,21.93
pigeon_color/,BASE,c26_p26_h51,UNKNOWN,[351;*] [0;*],300.000,255.54
pigeon_color/,ABK,c8_p8_h15,OPTIMUM FOUND,36 64,0.070,0.01
pigeon_color/,BASE,c8_p8_h15,SATISFIABLE,36 64,300.000,299.94
