Problem,Encoding,Instance,Result,OptVal,Time,Solving
./pigeon_hole/,ABK,p100_h100,OPTIMUM FOUND,5050,1.386,0.18
./pigeon_hole/,BASE,p100_h100,SATISFIABLE,5050,300.000,298.89
./pigeon_hole/,ABK,p200_h200,OPTIMUM FOUND,20100,15.168,3.43
./pigeon_hole/,BASE,p200_h200,SATISFIABLE,20100,300.000,289.25
./pigeon_hole/,ABK,p20_h20,OPTIMUM FOUND,210,0.017,0.00
./pigeon_hole/,BASE,p20_h20,SATISFIABLE,210,300.000,299.99
./pigeon_hole/,ABK,p30_h30,OPTIMUM FOUND,465,0.040,0.01
./pigeon_hole/,BASE,p30_h30,SATISFIABLE,465,300.000,299.97
./pigeon_hole/,ABK,p40_h40,OPTIMUM FOUND,820,0.079,0.01
./pigeon_hole/,BASE,p40_h40,SATISFIABLE,820,300.000,299.94
./pigeon_hole/,ABK,p50_h50,OPTIMUM FOUND,1275,0.145,0.02
./pigeon_hole/,BASE,p50_h50,SATISFIABLE,1275,300.000,299.89
./pigeon_hole/,ABK,p60_h60,OPTIMUM FOUND,1830,0.248,0.03
./pigeon_hole/,BASE,p60_h60,SATISFIABLE,1830,300.000,299.81
./pigeon_hole/,ABK,p70_h70,OPTIMUM FOUND,2485,0.420,0.05
./pigeon_hole/,BASE,p70_h70,SATISFIABLE,2485,300.000,299.67
./pigeon_hole/,ABK,p80_h80,OPTIMUM FOUND,3240,0.627,0.07
./pigeon_hole/,BASE,p80_h80,SATISFIABLE,3240,300.000,299.45
./pigeon_hole/,ABK,p90_h90,OPTIMUM FOUND,4095,1.088,0.21
./pigeon_hole/,BASE,p90_h90,SATISFIABLE,4095,300.000,299.25
