Problem,Encoding,Instance,Result,OptVal,Time,Solving
pigeon_owner/,ABK,o10_c10_p10_h19,OPTIMUM FOUND,55 55 100,0.617,0.09
pigeon_owner/,BASE,o10_c10_p10_h19,SATISFIABLE,55 55 100,300.000,299.49
pigeon_owner/,ABK,o12_c12_p12_h23,OPTIMUM FOUND,78 78 144,1.922,0.53
pigeon_owner/,BASE,o12_c12_p12_h23,SATISFIABLE,78 78 144,300.000,298.64
pigeon_owner/,ABK,o14_c14_p14_h27,OPTIMUM FOUND,105 105 196,4.413,1.21
pigeon_owner/,BASE,o14_c14_p14_h27,SATISFIABLE,105 105 196,300.000,296.85
pigeon_owner/,ABK,o16_c16_p16_h31,OPTIMUM FOUND,136 136 256,8.582,1.99
pigeon_owner/,BASE,o16_c16_p16_h31,UNKNOWN,[136;*] [0;*] [0;*],300.000,293.52
pigeon_owner/,ABK,o18_c18_p18_h35,OPTIMUM FOUND,171 171 324,25.109,12.10
pigeon_owner/,BASE,o18_c18_p18_h35,UNKNOWN,[171;*] [0;*] [0;*],300.000,287.48
pigeon_owner/,ABK,o20_c20_p20_h39,OPTIMUM FOUND,210 210 400,48.225,27.04
pigeon_owner/,BASE,o20_c20_p20_h39,SATISFIABLE,210 210 400,300.000,279.06
pigeon_owner/,ABK,o22_c22_p22_h43,OPTIMUM FOUND,253 253 484,82.434,45.15
pigeon_owner/,BASE,o22_c22_p22_h43,UNKNOWN,[253;*] [0;*] [0;*],300.000,262.64
pigeon_owner/,ABK,o5_c5_p5_9h,OPTIMUM FOUND,15 15 25,0.013,0.00
pigeon_owner/,BASE,o5_c5_p5_9h,OPTIMUM FOUND,15 15 25,0.176,0.17
pigeon_owner/,ABK,o6_c6_p6_h11,OPTIMUM FOUND,21 21 36,0.030,0.00
pigeon_owner/,BASE,o6_c6_p6_h11,OPTIMUM FOUND,21 21 36,1.657,1.63
pigeon_owner/,ABK,o8_c8_p8_h15,OPTIMUM FOUND,36 36 64,0.146,0.02
pigeon_owner/,BASE,o8_c8_p8_h15,SATISFIABLE,36 36 64,300.000,299.87
