Problem,Encoding,Instance,Result,OptVal,Time,Solving
./triple/,ABK,2-triple-12,OPTIMUM FOUND,8,0.832,0.82
./triple/,ENC2,2-triple-12,OPTIMUM FOUND,8,2.119,2.11
./triple/,BASE,2-triple-12,SATISFIABLE,8,300,299.99
./triple/,ABK,2-triple-15,SATISFIABLE,10,300,299.98
./triple/,ENC2,2-triple-15,SATISFIABLE,10,300,299.99
./triple/,BASE,2-triple-15,SATISFIABLE,10,300,299.98
./triple/,ABK,2-triple-18,SATISFIABLE,12,300,299.98
./triple/,ENC2,2-triple-18,SATISFIABLE,12,300,299.98
./triple/,BASE,2-triple-18,SATISFIABLE,12,300,299.98
./triple/,ABK,2-triple-21,SATISFIABLE,14,300,299.97
./triple/,ENC2,2-triple-21,SATISFIABLE,14,300,299.98
./triple/,BASE,2-triple-21,SATISFIABLE,14,300,299.97
./triple/,ABK,2-triple-24,SATISFIABLE,16,300,299.96
./triple/,ENC2,2-triple-24,SATISFIABLE,16,300,299.97
./triple/,BASE,2-triple-24,SATISFIABLE,16,300,299.96
./triple/,ABK,2-triple-27,SATISFIABLE,18,300,299.94
./triple/,ENC2,2-triple-27,SATISFIABLE,18,300,299.96
./triple/,BASE,2-triple-27,SATISFIABLE,18,300,299.94
./triple/,ABK,2-triple-30,SATISFIABLE,20,300,299.92
./triple/,ENC2,2-triple-30,SATISFIABLE,20,300,299.95
./triple/,BASE,2-triple-30,SATISFIABLE,20,300,299.92
./triple/,ABK,2-triple-33,SATISFIABLE,22,300,299.9
./triple/,ENC2,2-triple-33,SATISFIABLE,22,300,299.94
./triple/,BASE,2-triple-33,SATISFIABLE,22,300,299.88
./triple/,ABK,2-triple-36,SATISFIABLE,24,300,299.94
./triple/,ENC2,2-triple-36,SATISFIABLE,24,300,299.94
./triple/,BASE,2-triple-36,SATISFIABLE,24,300,299.96
./triple/,ABK,2-triple-9,OPTIMUM FOUND,6,0.046,0.04
./triple/,ENC2,2-triple-9,OPTIMUM FOUND,6,0.044,0.04
./triple/,BASE,2-triple-9,OPTIMUM FOUND,6,19.536,19.53
